female,callback,skillspeaking,skillsocialper,east_asian,south_asian,anglo,vancouver,toronto,montreal
1,1,54.90196078431372,31.25,0,0,1,0,1,0
1,0,54.90196078431372,31.25,0,1,0,0,1,0
1,0,76.47058823529412,42.1875,1,0,0,0,0,1
1,0,76.47058823529412,42.1875,1,0,0,0,0,1
0,1,76.47058823529412,42.1875,0,0,1,0,0,1
1,0,76.47058823529412,42.1875,0,1,0,0,0,1
0,0,84.31372549019608,57.8125,0,0,1,0,0,1
1,0,84.31372549019608,57.8125,0,1,0,0,0,1
1,0,84.31372549019608,57.8125,0,1,0,0,0,1
0,0,58.8235294117647,51.5625,0,0,0,0,0,1
0,0,58.8235294117647,51.5625,1,0,0,0,0,1
1,0,58.8235294117647,51.5625,0,1,0,0,0,1
0,0,58.8235294117647,51.5625,1,0,0,0,0,1
1,0,58.8235294117647,51.5625,0,1,0,0,0,1
0,0,58.8235294117647,51.5625,0,1,0,0,0,1
0,0,58.8235294117647,51.5625,0,0,1,0,0,1
1,0,58.8235294117647,51.5625,1,0,0,0,0,1
0,0,70.58823529411764,70.3125,0,0,1,0,0,1
1,0,70.58823529411764,70.3125,0,1,0,0,0,1
0,0,70.58823529411764,70.3125,1,0,0,0,0,1
1,0,70.58823529411764,70.3125,1,0,0,0,0,1
1,0,72.54901960784314,53.125,0,0,1,0,0,1
0,0,72.54901960784314,53.125,0,1,0,0,0,1
1,0,72.54901960784314,53.125,1,0,0,0,0,1
1,0,72.54901960784314,53.125,0,1,0,0,0,1
0,0,74.50980392156862,57.8125,0,1,0,0,0,1
1,0,74.50980392156862,57.8125,0,1,0,0,0,1
1,0,74.50980392156862,57.8125,0,0,0,0,0,1
0,0,74.50980392156862,57.8125,1,0,0,0,0,1
1,0,50.98039215686274,53.125,0,1,0,0,0,1
0,0,50.98039215686274,53.125,1,0,0,0,0,1
1,0,50.98039215686274,53.125,0,1,0,0,0,1
1,0,50.98039215686274,53.125,0,0,1,0,0,1
1,0,58.8235294117647,51.5625,0,1,0,0,0,1
0,0,58.8235294117647,51.5625,0,0,1,0,0,1
1,1,58.8235294117647,51.5625,1,0,0,0,0,1
1,0,58.8235294117647,51.5625,0,1,0,0,0,1
0,0,45.09803921568627,43.75,0,1,0,0,1,0
0,0,45.09803921568627,43.75,0,0,1,0,1,0
1,0,45.09803921568627,43.75,0,1,0,0,1,0
1,0,29.41176470588235,25.0,0,0,1,0,1,0
0,0,29.41176470588235,25.0,0,1,0,0,1,0
1,0,29.41176470588235,25.0,0,1,0,0,1,0
0,0,29.41176470588235,25.0,1,0,0,0,1,0
1,0,33.33333333333333,50.0,1,0,0,0,0,1
0,0,33.33333333333333,50.0,0,1,0,0,0,1
1,0,33.33333333333333,50.0,0,0,1,0,0,1
1,0,33.33333333333333,50.0,0,1,0,0,0,1
1,0,60.78431372549019,23.4375,0,1,0,0,0,1
1,0,60.78431372549019,23.4375,1,0,0,0,0,1
0,0,60.78431372549019,23.4375,1,0,0,0,0,1
0,0,60.78431372549019,23.4375,0,0,1,0,0,1
0,0,0.0,0.0,0,0,1,0,0,1
1,0,0.0,0.0,0,1,0,0,0,1
0,0,0.0,0.0,1,0,0,0,0,1
1,0,0.0,0.0,0,1,0,0,0,1
1,0,72.54901960784314,53.125,0,0,1,0,0,1
1,0,72.54901960784314,53.125,0,1,0,0,0,1
