language_skills,accreditation,reference,ma,female,certificate,ba_quality,exp_highquality,callback,extracurricular_skills,skillspeaking,skillsocialper,skillwriting
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,72.0,63.0,80.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,65.0,58.0,37.0
1.0,1,0,1.0,1.0,0.0,0.0,0.0,0.0,1,65.0,58.0,37.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,57.0,46.0,45.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,57.0,46.0,45.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,57.0,46.0,45.0
0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,59.0,62.0,52.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,59.0,62.0,52.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,59.0,62.0,52.0
1.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,73.0,45.0,65.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,73.0,45.0,65.0
1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,73.0,45.0,65.0
1.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,42.0,30.0,31.0
1.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0,42.0,30.0,31.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,42.0,30.0,31.0
0.0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,1,79.0,64.0,73.0
0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0,79.0,64.0,73.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,79.0,64.0,73.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,70.0,50.0,67.0
0.0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0,70.0,50.0,67.0
1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,57.0,46.0,45.0
1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1,57.0,46.0,45.0
0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,57.0,46.0,45.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,60.0,63.0,62.0
1.0,0,0,0.0,1.0,0.0,0.0,1.0,1.0,1,60.0,63.0,62.0
1.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,1,60.0,63.0,62.0
1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,60.0,63.0,62.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,60.0,63.0,62.0
0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0,60.0,63.0,62.0
